911,883
910,883
883,889
837,892
767,894
742,894
742,894
739,895
728,901
728,901
721,906
721,906
721,906
721,906
721,906
722,906
730,906
730,906
741,907
743,907
743,907
778,906
786,901
769,898
748,899
742,901
734,901
734,901
716,904
661,905
661,905
662,905
663,905
666,903
667,902
667,902
655,902
590,902
580,901
580,901
577,901
581,900
581,900
581,900
580,900
570,907
524,943
526,942
521,945
526,943
528,943
537,943
554,948
557,947
572,916
553,899
549,899
549,899
549,900
548,900
548,900
540,906
536,908
533,909
517,909
510,909
510,909
509,909
496,910
496,910
471,913
464,913
462,913
460,913
460,913
460,913
459,913
448,913
448,913
448,913
447,912
446,908
446,905
446,905
446,905
443,902
436,896
435,895
432,895
426,897
426,897
426,897
421,897
413,899
401,899
401,899
401,899
375,894
361,893
347,896
336,901
325,907
325,907
325,907
325,908
339,914
352,914
360,911
368,899
368,899
368,899
367,899
352,904
352,904
352,904
330,907
327,907
310,905
310,905
310,905
302,909
287,911
280,908
280,908
280,908
265,906
265,906
263,906
263,906
253,903
253,903
253,902
253,902
264,478
293,210
294,209
357,77
366,62
366,56
365,56
330,65
224,114
209,118
207,120
207,121
207,123
211,130
269,127
269,129
270,136
269,135
268,134
257,132
243,133
234,163
251,157
227,140
202,131
193,128
200,128
206,128
208,127
295,100
321,86
340,100
233,192
135,175
138,178
172,201
201,207
213,211
217,213
217,213
217,213
219,213
267,213
291,215
320,212
331,208
335,206
335,206
335,206
336,206
342,214
339,210
333,206
338,202
334,199
314,226
287,322
265,427
284,443
284,435
283,422
285,416
285,417
289,437
302,461
345,504
371,531
